Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.6201283182409236,1.6933497726063989,1.6032957520223263,1.6916664838790894,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127075844192632,1.7160740022764003,1.6706263177776464,1.6832506656646729,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832501767652153,1.6874582379962297,1.6580014883246355,1.67483389377594,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.6664176722436537,1.6664176722436537,1.5780470989152977,1.6075040102005005,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.615920543900883,1.6622098684310913,1.6032960367314837,1.6622098684310913,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.6563180151569543,1.6706256464871054,1.641168739568885,1.6580013036727905,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.670626067778491,1.670626067778491,1.615920461436213,1.628544807434082,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.6243366216788975,1.6537935366890895,1.6058209245000234,1.6411691904067993,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.6327529060428485,1.6580017591347012,1.6066625689891458,1.6411691904067993,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.628544785452402,1.6293864299112022,1.5990878715034638,1.6117122173309326,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159202935001657,1.636960921485703,1.6075040102005005,1.6075040102005005,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032960192674437,1.6453772813009964,1.5974046682671104,1.6302281618118286,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.6369606788065227,1.667259069455433,1.6344357460327685,1.6580013036727905,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.649585183777812,1.6537932449538337,1.6125536354252938,1.6201282739639282,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.619286878789586,1.6352778026680965,1.615920461436213,1.628544807434082,1316800,0.0,0.0
2002-03-07 00:00:00-05:00,1.628544397774721,1.733747522171961,1.628544397774721,1.7185982465744019,2700800,0.0,0.0
2002-03-08 00:00:00-05:00,1.7084994099905477,1.767413249173931,1.7084994099905477,1.7589969635009766,1600800,0.0,0.0
2002-03-11 00:00:00-05:00,1.750580550910369,1.8010781007597094,1.7463724886426264,1.781720757484436,5462400,0.0,0.0
2002-03-12 00:00:00-05:00,1.7674128047056807,1.8431590356590444,1.7674128047056807,1.7842453718185425,5819200,0.0,0.0
2002-03-13 00:00:00-05:00,1.7842445731430183,1.8094932519830709,1.7379551145666754,1.7690953016281128,5063200,0.0,0.0
2002-03-14 00:00:00-05:00,1.7690955932189354,1.7842448672308169,1.7539463192070537,1.7674123048782349,1696800,0.0,0.0
2002-03-15 00:00:00-05:00,1.7674121478516647,1.7758284282802073,1.6748333841920904,1.7127065658569336,1708000,0.0,0.0
2002-03-18 00:00:00-05:00,1.7169152800306822,1.7169152800306822,1.6032958522691627,1.6243364810943604,2207200,0.0,0.0
2002-03-19 00:00:00-05:00,1.6369614495696856,1.6411695123134138,1.5654232592351784,1.573839545249939,3229600,0.0,0.0
2002-03-20 00:00:00-05:00,1.5612146271495049,1.5612146271495049,1.4307627899259818,1.5166085958480835,9236000,0.0,0.0
2002-03-21 00:00:00-05:00,1.5166084443391203,1.6201282914479573,1.5166084443391203,1.5780470371246338,4427200,0.0,0.0
2002-03-22 00:00:00-05:00,1.5780471618898289,1.648743687584674,1.55784817748091,1.6243364810943604,2494400,0.0,0.0
2002-03-25 00:00:00-05:00,1.6411687276736469,1.6672590573710915,1.6142367537243845,1.659684419631958,7571200,0.0,0.0
2002-03-26 00:00:00-05:00,1.6832507197425097,1.691667005446682,1.6647350196151693,1.6815674304962158,1816800,0.0,0.0
2002-03-27 00:00:00-05:00,1.6815668944096953,1.7674126922753215,1.6748339000983077,1.7337477207183838,1369600,0.0,0.0
2002-03-28 00:00:00-05:00,1.7253308630100719,1.7337471432277547,1.6916659026665335,1.7000821828842163,1714400,0.0,0.0
2002-04-01 00:00:00-05:00,1.6874585667222202,1.6874585667222202,1.5990879794378798,1.6032960414886475,1880000,0.0,0.0
2002-04-02 00:00:00-05:00,1.5990874362307024,1.5990874362307024,1.5443818455177283,1.5687888860702515,2098400,0.0,0.0
2002-04-03 00:00:00-05:00,1.5696309543285811,1.582255300130104,1.5519569023119022,1.5654228925704956,567200,0.0,0.0
2002-04-04 00:00:00-05:00,1.5612146115302794,1.6032958696365107,1.5612146115302794,1.5948797464370728,763200,0.0,0.0
2002-04-05 00:00:00-05:00,1.5948798227182854,1.63275286050896,1.5561649799346924,1.5561649799346924,837600,0.0,0.0
2002-04-08 00:00:00-04:00,1.5654228590046977,1.5654228590046977,1.4955679758383487,1.5401740074157715,1558400,0.0,0.0
2002-04-09 00:00:00-04:00,1.5317578592777257,1.6159203754901883,1.5317578592777257,1.5948797464370728,3562400,0.0,0.0
2002-04-10 00:00:00-04:00,1.5906713665819283,1.603295710656538,1.5780470225073187,1.592354655265808,1302400,0.0,0.0
2002-04-11 00:00:00-04:00,1.5915132173785103,1.5915132173785103,1.557006597518921,1.557006597518921,1444000,0.0,0.0
